# id lon1 lat1 dep1 lon2 lat2 dep2 lon3 lat3 dep3 mean_len_m area_m2 strike dip rake
1.000000 168.463801 -18.279453 -54.237080 168.428020 -18.273899 -51.247040 168.443604 -18.241146 -53.984317 4846.831938 10170322.135400 336.558499 41.355245 89.981289
1.000000 168.503582 -18.356391 -54.569187 168.467251 -18.349978 -51.693724 168.483991 -18.317767 -54.456539 4846.822152 10170280.328860 335.670812 40.412225 89.339362
1.000000 168.541974 -18.434004 -54.621419 168.505095 -18.426955 -51.856795 168.522792 -18.395195 -54.607805 4841.843547 10149614.171737 334.931957 39.361510 88.782244
1.000000 168.524417 -18.465959 -51.914883 168.505095 -18.426955 -51.856795 168.541974 -18.434004 -54.621419 4844.923819 10163588.052109 335.508604 39.155438 89.173794
1.000000 168.600690 -18.549808 -54.784957 168.563348 -18.543550 -52.053507 168.581186 -18.511187 -54.721891 4845.330417 10163692.316301 335.195273 38.232707 89.010720
1.000000 168.582301 -18.581733 -52.122391 168.563348 -18.543550 -52.053507 168.600690 -18.549808 -54.784957 4816.149019 10037244.022795 335.689337 38.067615 89.344637
1.000000 168.653676 -18.668005 -54.678927 168.616670 -18.658582 -52.052209 168.637208 -18.628143 -54.781544 4835.819989 10124177.495901 337.000887 38.000418 90.446180
1.000000 168.632079 -18.697576 -51.912950 168.616670 -18.658582 -52.052209 168.653676 -18.668005 -54.678927 4793.669643 9937281.467533 337.258137 37.903552 90.587537
1.000000 168.646292 -18.736813 -51.705244 168.632079 -18.697576 -51.912950 168.668919 -18.708279 -54.506294 4787.076035 9908382.808743 337.809261 37.951810 91.009816
1.000000 168.708745 -18.830793 -53.691136 168.672574 -18.817447 -51.135893 168.695947 -18.789825 -53.967358 4832.246212 10109231.623570 339.435981 38.417326 92.280557
1.000000 168.686671 -18.859197 -50.924992 168.672574 -18.817447 -51.135893 168.708745 -18.830793 -53.691136 4854.884588 10204626.717538 339.214652 38.513898 92.036905
1.000000 168.719244 -18.943474 -50.925574 168.701826 -18.901632 -50.807686 168.737520 -18.911819 -53.543832 4880.407933 10300175.352658 339.947663 39.458951 92.546970
1.000000 168.755202 -19.022267 -51.435522 168.737461 -18.983704 -51.178424 168.773055 -18.990218 -54.135626 4807.811991 10002191.425389 339.864120 40.538423 92.449068
1.000000 168.771490 -19.059632 -51.578804 168.755202 -19.022267 -51.435522 168.790926 -19.029378 -54.410146 4755.381743 9755859.659138 339.485122 40.908778 92.151958
1.000000 168.785786 -19.097437 -51.492435 168.771490 -19.059632 -51.578804 168.807076 -19.069255 -54.455493 4742.552618 9697267.043951 339.019172 41.119335 91.788784
1.000000 168.798922 -19.136906 -51.198042 168.785786 -19.097437 -51.492435 168.821126 -19.109800 -54.230417 4786.915351 9905939.591875 338.467492 41.195710 91.356242
