File,Mw,Lon,Lat,Depth
tamtam_nuevo.000170.log,6.9804,169.945209,-21.20143,53.0
tamtam_nuevo.000171.log,6.8,167.230727,-17.420095,4.93
tamtam_nuevo.000172.log,7.0465,166.943083,-15.14001,25.86
tamtam_nuevo.000173.log,7.2872,167.0896,-15.318972,33.46
tamtam_nuevo.000174.log,7.257,167.007802,-15.033919,30.38
tamtam_nuevo.000175.log,7.2786,167.18583,-14.782691,46.67
tamtam_nuevo.000176.log,7.3302,166.278067,-14.990714,5.29
tamtam_nuevo.000177.log,7.0797,167.458209,-15.587403,48.57
tamtam_nuevo.000178.log,6.8478,169.283819,-21.756133,5.89
tamtam_nuevo.000179.log,7.2222,167.132592,-14.372278,56.26
tamtam_nuevo.000180.log,7.2455,166.50994,-15.009493,9.49
tamtam_nuevo.000181.log,7.0952,169.626852,-21.199271,27.09
tamtam_nuevo.000182.log,7.2661,167.922335,-17.295694,34.81
tamtam_nuevo.000183.log,7.0833,169.338905,-20.831466,23.44
tamtam_nuevo.000184.log,7.1664,170.274332,-21.636534,46.67
tamtam_nuevo.000185.log,7.4636,168.215388,-18.983363,17.77
tamtam_nuevo.000186.log,7.0052,168.919184,-20.9966,8.58
tamtam_nuevo.000187.log,7.5012,170.533801,-21.865655,43.63
tamtam_nuevo.000188.log,7.0102,167.758191,-16.810696,34.64
tamtam_nuevo.000189.log,7.2743,167.37484,-16.061691,30.91
tamtam_nuevo.000190.log,6.9751,168.800004,-20.986714,7.34
tamtam_nuevo.000191.log,7.3709,167.248449,-14.915852,50.05
tamtam_nuevo.000192.log,7.1424,169.390249,-21.235208,14.78
tamtam_nuevo.000193.log,7.1696,168.007262,-19.152578,10.1
tamtam_nuevo.000194.log,7.0664,169.353265,-21.011525,18.34
tamtam_nuevo.000195.log,7.1635,168.19886,-19.22401,13.81
tamtam_nuevo.000196.log,7.1026,169.196387,-21.013302,13.72
tamtam_nuevo.000197.log,7.2603,167.00204,-14.632733,33.82
tamtam_nuevo.000198.log,7.2633,168.465394,-18.695864,39.25
tamtam_nuevo.000199.log,7.078,168.008809,-18.374819,18.35
tamtam_nuevo.000200.log,7.2943,167.259786,-15.563859,38.67
tamtam_nuevo.000201.log,7.2014,167.213187,-17.219465,6.57
tamtam_nuevo.000202.log,7.2407,170.020167,-21.873862,17.88
tamtam_nuevo.000203.log,7.3443,167.259786,-15.563859,38.67
tamtam_nuevo.000204.log,7.2732,167.343807,-15.290373,51.21
tamtam_nuevo.000205.log,6.8557,169.499795,-21.520572,12.26
tamtam_nuevo.000206.log,7.2866,167.951094,-16.870187,47.91
tamtam_nuevo.000207.log,7.1979,169.244349,-20.610593,26.53
